24 51 51 99 48 90 55 98 54 98 70 97 52 53 66 120 68 51 50 57 120 53 88 66 68	33
8 54 57 52 122 69 52 88 66	694
22 51 50 53 122 120 65 122 56 48 98 56 95 122 100 70 70 51 53 99 66 67 55	325
15 51 122 98 66 66 52 97 53 120 99 69 88 95 122 56	3
25 50 90 51 99 122 48 68 70 54 95 101 95 100 95 69 56 120 99 51 52 70 67 50 56 54	2
23 50 98 67 49 101 122 50 56 51 66 90 69 49 69 90 122 101 67 54 99 67 97 52	2
9 45 102 101 57 70 97 100 101 55	0
25 51 95 122 99 122 53 88 98 48 53 57 55 102 65 101 69 95 49 122 52 120 57 65 122 100	3
19 55 67 68 120 51 50 65 90 55 122 101 67 99 90 67 67 97 56 56	7
6 55 67 51 99 67 101	7
24 55 68 69 67 88 53 70 53 56 90 98 68 120 99 69 51 68 98 50 68 120 49 97 122	7
12 56 122 49 48 50 88 102 48 70 90 53 66	8
23 51 90 48 88 95 69 50 69 98 57 120 70 53 53 54 48 51 55 122 99 66 97 90	3
16 53 52 122 98 102 120 120 120 100 100 70 48 65 99 99 54	54
14 57 70 70 120 97 95 120 57 66 90 97 51 49 122	9
8 51 97 52 68 122 57 101 53	3
1 45	0
21 55 54 49 90 95 97 55 88 52 95 48 67 52 51 52 65 122 120 98 122 56	761
21 51 68 101 70 52 90 50 51 120 88 88 70 122 100 57 69 50 55 102 101 70	3
15 48 101 66 99 122 99 55 101 100 50 120 102 65 57 98	0
8 50 67 67 97 54 122 69 69	2
1 55	7
8 52 55 120 102 57 65 52 51	47
8 52 52 67 99 68 53 53 122	44
20 56 49 65 53 67 57 55 54 102 65 54 101 48 102 98 54 101 49 97 88	81
20 54 122 101 54 66 69 56 54 54 69 52 49 49 101 70 70 70 102 101 55	6
12 54 88 97 98 95 67 97 50 52 95 90 57	6
12 54 70 66 54 67 50 54 50 88 100 67 100	6
7 45 53 49 54 99 90 67	18446744073709551100
17 52 88 102 56 90 122 55 54 54 67 98 97 122 56 49 90 52	4
6 55 49 49 53 57 95	71159
20 48 66 67 56 55 70 69 65 101 52 100 122 51 90 50 50 68 50 51 66	0
18 57 50 57 57 95 55 90 101 56 69 68 66 95 120 49 52 99 100	9299
8 55 101 66 90 53 53 98 102	7
12 50 99 88 101 100 65 65 49 99 56 65 97	2
20 56 67 97 56 97 57 95 102 51 67 52 51 90 68 54 50 57 88 53 99	8
14 45 101 102 48 66 90 99 97 67 50 53 90 70 95	0
20 55 88 98 122 54 70 69 90 97 65 65 101 99 69 69 65 69 53 99 122	7
8 54 54 97 88 54 68 51 68	66
13 51 50 88 68 95 97 99 54 101 69 68 54 57	32
18 49 56 100 69 99 67 120 54 102 65 68 70 102 95 98 122 120 70	18
8 51 50 55 70 66 49 70 54	327
8 49 65 57 56 100 50 68 97	1
23 52 70 101 52 120 57 51 55 122 120 122 100 99 66 88 90 88 53 95 48 51 90 98	4
2 54 102	6
18 50 100 67 99 69 51 54 65 48 70 56 97 95 56 66 67 65 70	2
18 54 54 120 49 88 56 70 98 67 66 70 55 122 102 55 90 122 54	66
16 53 98 100 95 49 90 70 68 54 90 95 67 97 52 98 98	5
4 51 52 102 57	34
4 57 50 50 67	922
11 50 122 67 90 90 100 102 54 98 67 97	2
25 51 49 99 56 100 48 90 68 53 95 102 97 97 99 102 57 68 88 100 120 70 49 69 102 120	31
17 53 56 68 56 122 52 102 122 53 101 67 65 97 53 48 70 70	58
6 54 49 100 53 66 120	61
19 55 57 52 102 95 100 57 66 48 88 65 70 68 57 48 99 99 57 122	794
6 49 67 55 48 120 90	1
14 45 102 102 101 101 53 90 69 69 100 69 120 66 95	0
20 48 57 56 97 101 101 56 88 55 101 68 95 55 101 120 66 48 70 98 50	0
18 50 98 48 95 120 97 97 70 98 98 52 50 69 102 53 90 101 98	2
16 52 122 99 67 48 101 102 88 57 122 98 54 90 122 50 49	4
19 54 69 102 51 54 98 54 50 52 55 51 67 122 98 65 48 54 95 69	6
24 57 90 69 48 90 98 98 57 48 100 97 55 54 66 102 101 100 88 88 95 54 70 48 101	9
21 56 100 99 52 52 54 100 97 120 65 67 88 65 67 49 56 90 56 51 120 50	8
3 55 102 100	7
